Ind,Longitude,Latitude
QBW001,-86.7418,33.48339
QBW002,-86.7421,33.4831
QBW003,-86.4017,33.60222
QBW004,-86.4016,33.60227
QBW005,-86.4016,33.60232
QBW006,-86.4016,33.60233
QBW007,-86.4016,33.60236
QBW008,-86.4013,33.60243
QBW009,-86.4013,33.60254
QBW010,-86.4007,33.60281
QBW011,-86.4009,33.60289
QBW012,-86.4009,33.60289
QBW013,-86.4005,33.60304
QBW014,-86.4001,33.60307
QBW015,-86.4001,33.60304
QBW016,-86.4,33.60309
QBW017,-86.2866,33.72907
QBW018,-86.2866,33.72905
QBW019,-86.2867,33.72903
QBW020,-86.2867,33.72904
QBW021,-86.2868,33.72902
QBW022,-86.2868,33.72904
QBW023,-86.2869,33.72903
QBW024,-86.2871,33.72913
QBW025,-86.2871,33.72907
QBW026,-86.2872,33.72896
QBW027,-86.2872,33.72888
QBW028,-86.2872,33.72888
QBW029,-86.2876,33.72864
QBW030,-86.2876,33.72868
QBW031,-86.2877,33.7286
QBW032,-86.288,33.72878
QBW033,-86.2884,33.73139
QBW034,-86.2879,33.7325
QBW035,-86.8474,33.38362
QBW036,-86.85,33.38097
QBW037,-86.8496,33.38111
QBW038,-86.8494,33.38143
QBW039,-86.8488,33.38156
QBW040,-86.8487,33.38158
QBW041,-86.8487,33.38149
QBW042,-86.8488,33.38146
QBW043,-86.8488,33.3815
QBW044,-86.8488,33.38141
QBW045,-86.8487,33.38161
QBW046,-86.8488,33.38186
QBW047,-86.8488,33.38187
QBW048,-86.8489,33.38187
QBW049,-86.8488,33.38193
QBW050,-86.8413,33.38421
QBW051,-86.8426,33.38335
QBW052,-86.8427,33.38341
QBW053,-86.8427,33.38342
QBW054,-86.8428,33.38345
QBW055,-86.8429,33.3835
QBW056,-86.8471,33.38361
QBW057,-86.6497,33.55218
QBW058,-86.6499,33.55207
QBW059,-86.6499,33.55207
QBW060,-86.6498,33.55207
QBW061,-86.6499,33.55201
QBW062,-86.6499,33.552
QBW063,-86.65,33.5519
QBW064,-86.6499,33.5519
QBW065,-86.65,33.55193
QBW066,-86.6499,33.55191
QBW067,-86.6498,33.55219
QBW068,-86.6498,33.5523
QBW069,-86.6755,33.3724
QBW070,-86.6755,33.37236
QBW071,-86.6754,33.37232
QBW072,-86.6755,33.37231
QBW073,-86.676,33.3726
QBW074,-86.6758,33.37271
QBW075,-86.676,33.37259
QBW076,-86.6764,33.37213
QBW077,-86.6764,33.37215
QBW078,-86.6766,33.37192
QBW079,-86.6767,33.37172
QBW080,-86.6767,33.37173
QBW081,-86.6776,33.37072
QBW082,-86.6775,33.37073
QBW083,-86.684,33.36401
QBW084,-86.6838,33.36428
QBW085,-86.6857,33.36238
QBW086,-86.6857,33.36241
QBW087,-86.6856,33.3624
QBW088,-86.6857,33.3624
QBW089,-86.6862,33.36175
QBW090,-86.686,33.36181
QBW091,-86.686,33.36182
QBW092,-86.6859,33.36192
QBW093,-86.684,33.36385
QBW094,-86.6902,33.3561
QBW095,-86.6885,33.35016
QBW096,-86.6885,33.35026
QBW097,-86.6885,33.35026
QBW098,-86.6863,33.35174
QBW099,-86.6863,33.35175
QBW100,-86.6863,33.35176
QBW101,-86.6863,33.3516
QBW102,-86.6862,33.35151
QBW103,-86.6862,33.35139
QBW104,-86.6861,33.35162
QBW105,-86.6862,33.35172
QBW106,-86.6853,33.35223
QBW107,-86.6853,33.35223
QBW108,-86.6853,33.35215
QBW109,-86.6851,33.35229
QBW110,-86.6851,33.3523
QBW111,-86.6851,33.35234
QBW112,-86.685,33.35236
