Species,Longitude,Latitude
Quercus pacifica,-118.432842,33.200581
Quercus pacifica,-118.326318,33.215244
Quercus pacifica,-118.246892,33.232414
Quercus pacifica,-118.382714,33.240713
Quercus pacifica,-118.234529,33.250687
Quercus pacifica,-118.206425,33.255163
Quercus pacifica,-118.529861,33.271203
Quercus pacifica,-118.24508,33.318393
Quercus pacifica,-118.342924,33.322496
Quercus pacifica,-118.34292,33.3225
Quercus pacifica,-118.318291,33.327337
Quercus pacifica,-118.314287,33.328875
Quercus pacifica,-118.3198,33.3301
Quercus pacifica,-118.32028,33.33028
Quercus pacifica,-118.364038,33.333253
Quercus pacifica,-118.531171,33.334696
Quercus pacifica,-118.335199,33.339958
Quercus pacifica,-118.423948,33.340962
Quercus pacifica,-118.3468,33.3417
Quercus pacifica,-118.4263,33.3419
Quercus pacifica,-118.4299,33.3427
Quercus pacifica,-118.331819,33.343175
Quercus pacifica,-118.325672,33.344726
Quercus pacifica,-118.4429,33.3463
Quercus pacifica,-118.442745,33.346375
Quercus pacifica,-118.405294,33.346979
Quercus pacifica,-118.40421,33.347329
Quercus pacifica,-118.40421,33.34733
Quercus pacifica,-118.40421,33.34733
Quercus pacifica,-118.3307,33.3482
Quercus pacifica,-118.331199,33.348847
Quercus pacifica,-118.3994367,33.35008552
Quercus pacifica,-118.356606,33.351321
Quercus pacifica,-118.360133,33.352828
Quercus pacifica,-118.35111,33.35306
Quercus pacifica,-118.4377,33.3534
Quercus pacifica,-118.355498,33.353724
Quercus pacifica,-118.4391376,33.35378514
Quercus pacifica,-118.332839,33.354154
Quercus pacifica,-118.33278,33.35444
Quercus pacifica,-118.351,33.355
Quercus pacifica,-118.3582,33.3552
Quercus pacifica,-118.3606,33.355267
Quercus pacifica,-118.3606,33.355267
Quercus pacifica,-118.44583,33.35528
Quercus pacifica,-118.44583,33.35528
Quercus pacifica,-118.390903,33.355445
Quercus pacifica,-118.390903,33.355445
Quercus pacifica,-118.390903,33.355445
Quercus pacifica,-118.390903,33.355445
Quercus pacifica,-118.390903,33.355445
Quercus pacifica,-118.436394,33.355767
Quercus pacifica,-118.436394,33.355767
Quercus pacifica,-118.43639,33.35577
Quercus pacifica,-118.43639,33.35577
Quercus pacifica,-118.4425,33.356
Quercus pacifica,-118.4425,33.356
Quercus pacifica,-118.34919,33.356305
Quercus pacifica,-118.44481,33.3565
Quercus pacifica,-118.44481,33.3565
Quercus pacifica,-118.4425,33.35667
Quercus pacifica,-118.44861,33.35694
Quercus pacifica,-118.43139,33.35778
Quercus pacifica,-118.3731,33.3588
Quercus pacifica,-118.38792,33.35972
Quercus pacifica,-118.3706362,33.36398531
Quercus pacifica,-118.3706362,33.36398531
Quercus pacifica,-118.313637,33.365214
Quercus pacifica,-118.3496357,33.36698537
Quercus pacifica,-118.349275,33.367381
Quercus pacifica,-118.366901,33.369046
Quercus pacifica,-118.366901,33.369046
Quercus pacifica,-118.366901,33.369046
Quercus pacifica,-118.4102,33.371
Quercus pacifica,-118.3582,33.37251
Quercus pacifica,-118.405795,33.374405
Quercus pacifica,-118.399916,33.376986
Quercus pacifica,-118.391547,33.37738
Quercus pacifica,-118.39331,33.37752
Quercus pacifica,-118.393307,33.377523
Quercus pacifica,-118.393307,33.377523
Quercus pacifica,-118.422201,33.378564
Quercus pacifica,-118.369918,33.379351
Quercus pacifica,-118.369918,33.379351
Quercus pacifica,-118.369918,33.379351
Quercus pacifica,-118.369918,33.379351
Quercus pacifica,-118.369918,33.379351
Quercus pacifica,-118.4016,33.380358
Quercus pacifica,-118.322874,33.383778
Quercus pacifica,-118.39521,33.38677
Quercus pacifica,-118.416389,33.387778
Quercus pacifica,-118.376393,33.389751
Quercus pacifica,-118.376393,33.389751
Quercus pacifica,-118.390365,33.3909
Quercus pacifica,-118.390365,33.3909
Quercus pacifica,-118.390365,33.3909
Quercus pacifica,-118.4512,33.3923
Quercus pacifica,-118.4512,33.3923
Quercus pacifica,-118.455963,33.393613
Quercus pacifica,-118.34223,33.397693
Quercus pacifica,-118.445663,33.398199
Quercus pacifica,-118.445663,33.398199
Quercus pacifica,-118.445663,33.398199
Quercus pacifica,-118.440857,33.399345
Quercus pacifica,-118.440857,33.399345
Quercus pacifica,-118.500938,33.440036
Quercus pacifica,-118.482213,33.440584
Quercus pacifica,-118.48221,33.4406
Quercus pacifica,-118.487,33.441
Quercus pacifica,-118.487,33.441
Quercus pacifica,-118.501239,33.442364
Quercus pacifica,-118.5005399,33.44578201
Quercus pacifica,-118.501933,33.44925
Quercus pacifica,-118.511284,33.449556
Quercus pacifica,-118.5204,33.4499
Quercus pacifica,-118.5204,33.4499
Quercus pacifica,-118.51274,33.451997
Quercus pacifica,-118.50806,33.45278
Quercus pacifica,-118.510466,33.453178
Quercus pacifica,-118.5502,33.463795
Quercus pacifica,-118.438145,33.465831
Quercus pacifica,-118.536987,33.468824
Quercus pacifica,-118.57805,33.4712
Quercus pacifica,-118.411109,33.477741
Quercus pacifica,-118.405712,33.481453
Quercus pacifica,-118.593255,33.536471
Quercus pacifica,-118.550202,33.592937
Quercus pacifica,-119.684194,33.804296
Quercus pacifica,-120.152826,33.810101
Quercus pacifica,-119.622087,33.832682
Quercus pacifica,-119.737027,33.83452
Quercus pacifica,-120.010606,33.83921
Quercus pacifica,-120.008388,33.850793
Quercus pacifica,-119.768892,33.855452
Quercus pacifica,-119.738841,33.866729
Quercus pacifica,-120.005251,33.868816
Quercus pacifica,-119.633197,33.869564
Quercus pacifica,-120.125,33.9115
Quercus pacifica,-120.081182,33.914792
Quercus pacifica,-119.640306,33.915186
Quercus pacifica,-120.1455,33.9257
Quercus pacifica,-130.149333,33.928472
Quercus pacifica,-120.137,33.932
Quercus pacifica,-119.636327,33.942437
Quercus pacifica,-119.68,33.953237
Quercus pacifica,-119.7723,33.9685
Quercus pacifica,-119.7075,33.9706
Quercus pacifica,-120.0699,33.971
Quercus pacifica,-119.7779,33.9718
