"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","100% (163)","100% (79.3)","100% (113)","100% (71.5)","100% (11.7)","100% (38.7)","NA% (NA)","NA% (NA)","NA% (NA)"
"2","98.1% (163)","100% (76)","100% (104)","100% (65.5)","87.5% (21.8)","100% (27.2)","NA% (NA)","NA% (NA)","NA% (NA)"
"3","100% (172)","100% (83.1)","100% (123)","100% (78.5)","100% (10)","100% (32.9)","NA% (NA)","NA% (NA)","NA% (NA)"
"4","99.8% (170)","100% (80.6)","100% (117)","100% (74.1)","97.8% (15.3)","100% (14)","NA% (NA)","NA% (NA)","NA% (NA)"
"5","99.3% (186)","100% (87.7)","100% (135)","100% (86.2)","90.3% (12)","100% (46.4)","NA% (NA)","NA% (NA)","NA% (NA)"
"6","98.8% (191)","100% (88.2)","100% (137)","100% (89.3)","84.9% (13.1)","100% (19.7)","NA% (NA)","NA% (NA)","NA% (NA)"
"7","97.8% (190)","100% (84.4)","100% (125)","100% (85.9)","82.6% (20)","100% (20.1)","NA% (NA)","NA% (NA)","NA% (NA)"
"8","100% (171)","100% (83.1)","100% (122)","100% (77.1)","100% (9.22)","100% (31.7)","NA% (NA)","NA% (NA)","NA% (NA)"
"9","99.9% (135)","100% (70)","100% (92.8)","100% (51.6)","99.4% (13.5)","100% (21.4)","NA% (NA)","NA% (NA)","NA% (NA)"
"10","98.5% (186)","100% (86.1)","100% (131)","100% (85.6)","83.5% (14.6)","100% (13.9)","NA% (NA)","NA% (NA)","NA% (NA)"
"11","100% (161)","100% (80.1)","100% (117)","100% (71.9)","NaN% (6.26)","100% (43.5)","NA% (NA)","NA% (NA)","NA% (NA)"
"12","99.4% (159)","100% (76.9)","100% (107)","100% (64.6)","94.2% (16.7)","100% (25.7)","NA% (NA)","NA% (NA)","NA% (NA)"
"13","100% (200)","100% (100)","100% (176)","100% (99.2)","NaN% (0.631)","NaN% (3.84)","NA% (NA)","NA% (NA)","NA% (NA)"
"14","99.5% (197)","100% (91.9)","100% (151)","100% (97.8)","NaN% (7.66)","100% (16.1)","NA% (NA)","NA% (NA)","NA% (NA)"
