"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"QUAC",114.34,60.58,78.49,42.9,10.64,26.67,0,0,0
"QUAR",163.83,73.54,101.4,64.94,25.32,11.32,0,0,0
"QUAU",126.3,68.26,88.91,46.92,10.81,31.15,0,0,0
"QUBO",125.98,62.11,79.99,45.49,18.26,9.01,0,0,0
"QUCA",186.08,87.11,132.4,84.41,14.33,34.77,0,0,0
"QUCE",190.94,87.62,132.44,85.6,17.61,18.1,0,0,0
"QUEN",189.64,81.39,117.87,79.34,28.87,15.22,0,0,0
"QUGE",124.65,67.48,87.41,45.69,10.08,31.25,0,0,0
"QUGR",101.1,58.55,73.81,35.2,6.96,22.13,0,0,0
"QUHA",184.17,82.53,122.92,81.04,20.38,16.3,0,0,0
"QUHI",99.27,57.82,72.51,34.24,5.47,22.35,0,0,0
"QUOG",143.87,71.92,95.42,54.71,16.32,27.46,0,0,0
"QUPA",199.8,95.88,164.64,99.88,3.86,11.3,0,0,0
"QUTO",198.19,91.86,149.35,96.69,9.53,15.08,0,0,0
